DOID_176	HP_0001028	MP_0003667	MP_0002947	HP_0100544	HP_0005306	HP_0009729	HP_0012329	HP_0011673	HP_0009730	HP_0011672	HP_0100742	HP_0200058
DOID_178	HP_0025015	HP_0000822	MP_0001863	MP_0004012	HP_0001626	HP_0011004	HP_0002597	MP_0000231	HP_0030680	HP_0002633	HP_0002634	MP_0001864
DOID_180	HP_0010614	HP_0012290	HP_0100246	HP_0011846	HP_0100612	HP_0010736	HP_0012063	HP_0100242	HP_0012328	HP_0030448	HP_0012062	HP_0030793
DOID_182	HP_0100774	HP_0025520	MP_0030222	HP_0011838	HP_0002150	MP_0005441	MP_0000525	HP_0008250	MP_0001765	HP_0008442	HP_0010766	HP_0008341
DOID_184	HP_0011792	HP_0002859	MP_0002032	HP_0011846	HP_0006765	HP_0006717	HP_0012315	HP_0000924	HP_0009728	HP_0010622	HP_0012254	HP_0100242
DOID_192	HP_0100528	HP_0100618	MP_0012600	HP_0100619	HP_0000771	HP_0010788	HP_0008236	HP_0000150	HP_0025451	HP_0000030	MP_0012602	HP_0100621
DOID_193	HP_0100615	HP_0010785	HP_0000078	HP_0008775	HP_0010784	HP_0000812	HP_0012125	HP_0007379	HP_0025318	HP_0010787	HP_0000137	HP_0100787
DOID_196	HP_0010286	HP_0011850	HP_0012197	MP_0001870	HP_0031495	HP_0030404	MP_0013367	HP_0002894	HP_0031500	HP_0100757	HP_0000197	MP_0013532
DOID_198	MP_0002018	MP_0002038	MP_0000001	MP_0002006	MP_0009308	MP_0002020
DOID_200	MP_0020550	HP_0011846	HP_0030432	HP_0010622	HP_0006765	HP_0012064	HP_0007481	HP_0100955	HP_0030038	HP_0012062	HP_0002669	HP_0012063
DOID_201	HP_0030448	HP_0100527	MP_0002032	HP_0100242	HP_0012254	HP_0010622	HP_0012570	HP_0011792	HP_0004429	HP_0100244	HP_0100002	HP_0005353
DOID_203	HP_0012313	HP_0000896	MP_0003560	HP_0000918	HP_0010622	HP_0100789	HP_0002758	HP_0030431	HP_0004459	HP_0010304	HP_0002762	HP_0100777
DOID_204	HP_0031090	HP_0025232	HP_0100685	HP_0025273	HP_0100781	MP_0001835	HP_0008144	HP_0002867	HP_0100686	HP_0012317	MP_0013942	HP_0008117
DOID_205	HP_0005465	MP_0030417	MP_0030222	HP_0004459	HP_0100777	HP_0004437	HP_0030431	HP_0004493	HP_0100774	HP_0002762	MP_0005390	MP_0030418
DOID_206	HP_0002341	HP_0003049	HP_0002762	HP_0003038	HP_0002986	HP_0030431	HP_0002176	HP_0100777	HP_0000896	HP_0002673	HP_0002472	HP_0000918
DOID_208	HP_0005584	HP_0040077	HP_0004363	HP_0002024	MP_0002693	HP_0012092	HP_0002901	HP_0003745	MP_0003335	HP_0001738	MP_0000195	HP_0009726
DOID_210	HP_0025232	HP_0100537	HP_0030431	HP_0003549	HP_0100686	HP_0001763	HP_0100685	HP_0100777	HP_0025441	HP_0001761	HP_0025238	MP_0013942
